image_name,feature_polarity,line_id,n_sections,valid_fraction,center_nm,CD_mean_nm,CD_median_nm,LWR_sigma_nm,LWR_3sigma_nm,LER_left_sigma_nm,LER_right_sigma_nm,LER_avg_sigma_nm,LER_avg_3sigma_nm,threshold_score,initial_width_nm
fig 014(1).tif,dark,16.0,649.0,0.995398773006135,600.0792437676881,14.242966889340789,14.246733178904492,1.9436313937971101,5.83089418139133,1.5010759402733447,1.4033978025121465,1.4522368713927456,4.356710614178237,0.5673197722312513,14.083460081843091
fig 014(1).tif,dark,17.0,621.0,0.9524539877300614,636.1839262076571,32.431635592806316,32.57188820800843,4.110025432710384,12.330076298131154,3.018130055007783,2.6802489662128592,2.849189510610321,8.547568531830963,0.5167583847865276,30.6252987187066
fig 014(1).tif,dark,18.0,649.0,0.995398773006135,673.1156156762227,14.936261137062333,15.164129913646434,1.789004685590881,5.367014056772643,1.3538064377922128,1.8375779866454638,1.5956922122188382,4.787076636656515,0.594773893943572,14.301684151554783
fig 014(1).tif,dark,19.0,647.0,0.9923312883435583,710.8494879417535,31.467045004014565,31.803549371228087,5.9238083846538805,17.77142515396164,4.712342236701356,3.6572473123192575,4.184794774510307,12.55438432353092,0.550228965120128,30.915663765000627
fig 015(1).tif,dark,1.0,633.0,0.9708588957055214,37.45296381307726,34.1689413126691,34.219554561059894,4.273286928234246,12.819860784702737,3.0697330177975535,3.1654197060601272,3.1175763619288404,9.352729085786521,0.4889414396733595,32.93912622529093
fig 015(1).tif,dark,2.0,649.0,0.995398773006135,75.76657012446726,15.619119051341507,15.628199062405926,2.3120989477031935,6.936296843109581,1.4720563698102567,1.6921349426358672,1.582095656223062,4.746286968669185,0.5747092066433672,15.224502358783356
fig 015(1).tif,dark,3.0,632.0,0.9693251533742331,113.50417868186747,33.36569845722285,33.95420233672365,5.837468711360201,17.512406134080603,3.982503487800263,4.488257092108925,4.235380289954594,12.70614086986378,0.5194478532529639,32.80626713543398
fig 015(1).tif,dark,4.0,646.0,0.99079754601227,149.6364634588203,13.031687994835467,13.162565334789178,2.078307522415288,6.234922567245864,1.793732115458499,1.3846707711208444,1.5892014432896717,4.767604329869015,0.5612632980664843,13.03393255505178
fig 015(1).tif,dark,5.0,591.0,0.906441717791411,186.1938517064492,34.48127875324094,34.524647918908045,5.150017105914391,15.450051317743174,3.7583130446087356,3.4021124469866924,3.5802127457977138,10.740638237393142,0.5105375101812583,34.10857761923181
fig 015(1).tif,dark,6.0,640.0,0.9815950920245399,224.30913769182186,12.849019778666882,13.237887213670874,3.043291879983221,9.129875639949663,3.080445704990929,2.705405529657473,2.8929256173242006,8.678776851972602,0.5981454796131158,12.500750141918
fig 015(1).tif,dark,7.0,591.0,0.906441717791411,260.92747323682767,35.005072010804206,34.95363003617058,4.468852931031091,13.406558793093275,3.6013986306374757,2.179077711776986,2.8902381712072307,8.670714513621693,0.5083341769699633,33.569572285554976
fig 015(1).tif,dark,8.0,649.0,0.995398773006135,299.8349245741699,16.30661840648083,16.342838561173835,2.0816363089213508,6.244908926764053,1.3676572711869552,1.5603549173332791,1.4640060942601172,4.392018282780351,0.5874202329771975,15.216049664381018
fig 015(1).tif,dark,9.0,644.0,0.9877300613496932,336.3111875635057,33.41332887251408,34.278087396649255,4.342853483850506,13.028560451551519,2.644536954933065,2.7141224832100344,2.67932971907155,8.03798915721465,0.49384586545303866,31.48156649259652
fig 015(1).tif,dark,10.0,646.0,0.99079754601227,373.63309470629383,14.445649246972698,14.692431846751276,1.8018526753710493,5.405558026113148,1.2585042016753563,1.2052484397633538,1.231876320719355,3.6956289621580654,0.5690461584820893,14.33487886194233
fig 015(1).tif,dark,11.0,630.0,0.9662576687116564,411.50717502070603,34.9550602861281,35.74537302890403,4.889943429086258,14.669830287258772,3.597363648446182,2.778668117327078,3.18801588288663,9.56404764865989,0.5001115771376318,34.52985744855914
fig 015(1).tif,dark,12.0,649.0,0.995398773006135,450.92711126174294,16.49009616600404,16.47147242555036,1.5223155069807501,4.566946520942251,0.9714404325786749,1.3729005108630903,1.1721704717208825,3.5165114151626478,0.573894338516675,16.185692195694358
fig 015(1).tif,dark,13.0,642.0,0.9846625766871165,486.632981894568,30.778339693674607,31.486593995786023,4.6156178901320795,13.84685367039624,3.2640290105537293,2.785306343452464,3.0246676770030967,9.07400303100929,0.4993499977929122,30.00564776357812
fig 015(1).tif,dark,14.0,649.0,0.995398773006135,524.149223215416,16.708758890111355,16.78446440709365,2.7198183557800317,8.159455067340096,1.3122639663213538,1.7351884407352052,1.5237262035282795,4.571178610584838,0.5827204723776152,16.1435509874987
fig 015(1).tif,dark,15.0,629.0,0.9647239263803681,562.7063195422126,34.532104707950786,34.663355178636834,4.544315844270411,13.632947532811233,3.7701791027341827,2.5022861947423407,3.136232648738262,9.408697946214787,0.5117103083261518,33.77777637707183
